CV_ID,years_experience,highest_degree,skills,Job_Role,has_portfolio,raw_text,label
cv0033,8,PhD,"Deep Learning, Docker, JSON, Kubernetes, Linux, NLP, NumPy, Pandas, SQL, Statistics",ML Engineer,FALSE,Research scientist with strong statistical background and experience publishing reproducible research.,1
cv0034,0,Bachelors,"Signal Processing, REST APIs, Seaborn, Kubernetes, Clustering, Machine Learning",Office Assistant,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv0035,2,Bachelors,"Regression, Speech Recognition, Signal Processing, Flask, Machine Learning, Hadoop",Receptionist,TRUE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv0036,8,Bachelors,"EDA, Scikit-learn",Receptionist,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv0037,8,Bachelors,"AWS, Deep Learning, JSON, NLP, NumPy, Pandas, Statistics, Transformer Models",ML Engineer,FALSE,"Data scientist proficient in end-to-end ML pipelines, experimentation, and stakeholder communication.",1
cv0038,3,Bachelors,"CI/CD, Transformer Models, NLP, SQL, Statistics, Feature Engineering",Administrative Assistant,TRUE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv0039,0,Masters,"Classification, Git",Office Assistant,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv0040,3,Masters,"Computer Vision, Flask",Telecaller,TRUE,Content creator interested in data science but lacks hands-on ML experience.,0
cv0041,2,Masters,"Computer Vision, Signal Processing, CI/CD, Kubernetes, Power BI, Azure",Data Entry Operator,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv0042,3,Masters,"PyTorch Lightning, TensorFlow, Docker",Data Entry Operator,TRUE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv0043,8,PhD,"BERT, Clustering, EDA, GPT, Machine Learning, Pandas, Seaborn, Statistics, Time Series",Research Scientist,TRUE,"Experienced ML engineer with strong background in model development, deployment, and monitoring.",1
cv0044,5,Masters,"Data Visualization, Git",Marketing Intern,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv0045,14,Bachelors,"Azure, Docker Compose, Flask, Pandas, Python, Scikit-learn, Statistics",ML Engineer,TRUE,"ML engineer experienced in MLOps, Docker, Kubernetes, and continuous deployment of models.",1
cv0046,2,Masters,"AWS, Azure, Matplotlib, EDA, Scikit-learn",Junior Intern,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv0047,1,Bachelors,"Spark, SQL",Marketing Intern,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv0048,3,Bachelors,"GCP, SQL",Receptionist,TRUE,Content creator interested in data science but lacks hands-on ML experience.,0
cv0049,1,Bachelors,"Spark, REST APIs, Speech Recognition, Docker Compose, Streamlit, Seaborn",Office Assistant,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv0050,2,Masters,"OpenCV, Clustering, SQLAlchemy, PyTorch Lightning",Junior Intern,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv0051,2,Masters,"GCP, Machine Learning, Flask",Content Writer,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv0052,5,Masters,"OpenCV, Signal Processing, Speech Recognition, CI/CD, Computer Vision, Data Engineering",Customer Support,FALSE,Customer support representative with some Excel skills and interest in analytics.,0
cv0053,1,Bachelors,"Azure, Classification, AWS, GCP, OpenCV, NLP",Data Entry Operator,TRUE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv0054,10,Masters,"Azure, Clustering, Deep Learning, Feature Engineering, GCP, Machine Learning, Matplotlib, NumPy, Pandas, SQLAlchemy, Scikit-learn, Transformer Models, XGBoost",NLP Engineer,TRUE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv0055,0,Bachelors,"EDA, Model Deployment, XGBoost, Clustering, Data Visualization, JSON",Receptionist,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv0056,1,Masters,"SQLAlchemy, OpenCV, Machine Learning",Telecaller,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv0057,3,Masters,"CI/CD, Classification, Data Engineering, Docker, HuggingFace, Linux, Machine Learning, NumPy, Pandas, Reinforcement Learning, Statistics",Data Analyst,FALSE,"Researcher focused on NLP and transformer-based models, with publications in top conferences.",1
cv0058,3,Bachelors,"Python, SQL",Office Assistant,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv0059,5,Masters,"AWS, CI/CD, Deep Learning, FastAPI, JSON, Machine Learning, NumPy, Pandas, SQLAlchemy, Seaborn, Tableau",Senior Data Scientist,TRUE,Research scientist with strong statistical background and experience publishing reproducible research.,1
cv0060,1,Bachelors,"GCP, CI/CD",Telecaller,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv0061,4,Masters,"Docker Compose, Flask, JSON, Spark",Sales Executive,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv0062,3,Bachelors,"OpenCV, Docker, REST APIs, Tableau",Telecaller,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv0063,9,Bachelors,"Linux, JSON, Docker Compose, GPT, Classification, AWS",Sales Executive,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv0064,4,Masters,"Docker, Model Deployment",Content Writer,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv0065,4,Bachelors,"Seaborn, Feature Engineering, Regression",Telecaller,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv0066,6,Masters,"Matplotlib, Data Engineering, HuggingFace, Speech Recognition, Reinforcement Learning, Transformer Models",Telecaller,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv0067,15,Masters,"Flask, GPT, Machine Learning, Power BI, Python, REST APIs, Statistics, TensorFlow, Time Series, Transformer Models",Machine Learning Engineer,FALSE,Applied ML engineer experienced in productionizing deep learning models on cloud platforms.,1
cv0068,0,Bachelors,"LightGBM, Deep Learning, Speech Recognition, SQL, GCP",Administrative Assistant,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv0069,10,Masters,"AWS, FastAPI, Feature Engineering, GPT, Hadoop, Kubernetes, Linux, Machine Learning, OpenCV, Pandas, PyTorch Lightning, Python, Scikit-learn, Spark, Speech Recognition",Computer Vision Engineer,TRUE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv0070,6,Masters,"CI/CD, FastAPI, Git, LightGBM, Machine Learning, Matplotlib, Pandas, PyTorch, Python, REST APIs, Scikit-learn, Speech Recognition, Statistics, XGBoost",NLP Engineer,TRUE,Applied ML engineer experienced in productionizing deep learning models on cloud platforms.,1
cv0071,1,PhD,"JSON, GPT, OpenCV, Clustering, NumPy",Junior Intern,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv0072,1,Masters,"LightGBM, Linux, TensorFlow",Receptionist,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv0073,7,Bachelors,"Deep Learning, Matplotlib",Administrative Assistant,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv0074,5,Bachelors,"SQL, Machine Learning, Linux, Deep Learning, Seaborn",Office Assistant,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv0075,7,Bachelors,"Computer Vision, Git, Machine Learning, Matplotlib, NumPy, Python, Scikit-learn",Computer Vision Engineer,TRUE,"Data scientist proficient in end-to-end ML pipelines, experimentation, and stakeholder communication.",1
cv0076,0,Masters,"Seaborn, Time Series, Python, Streamlit, Regression",Telecaller,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv0077,8,Masters,"Azure, Clustering, GCP, Linux, Machine Learning, Pandas, Statistics",Applied ML Engineer,TRUE,"Experienced ML engineer with strong background in model development, deployment, and monitoring.",1
cv0078,12,Masters,"Linux, Machine Learning, NLP, NumPy, Pandas, Power BI, Speech Recognition",Data Scientist,TRUE,Applied ML engineer experienced in productionizing deep learning models on cloud platforms.,1
cv0079,9,Masters,"AWS, Git, Kubernetes, Machine Learning, Matplotlib, NumPy, Pandas, Python, TensorFlow, Time Series",Research Scientist,TRUE,"Computer vision engineer with experience in object detection, segmentation, and optimization.",1
cv0080,4,Bachelors,"OpenCV, Spark, Pandas, GPT, Python",Receptionist,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv0081,4,Bachelors,"Azure, BERT, HuggingFace, LightGBM, Machine Learning, NumPy, Pandas, Signal Processing",Research Scientist,TRUE,"Experienced ML engineer with strong background in model development, deployment, and monitoring.",1
cv0082,7,Masters,"Computer Vision, Time Series, Kubernetes, PyTorch",Junior Intern,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv0083,3,PhD,"Linux, Pandas, Classification",Marketing Intern,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv0084,4,Masters,"TensorFlow, Power BI",Content Writer,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv0085,2,Masters,"AWS, Flask, GCP, Git, Machine Learning, NumPy, Python, Scikit-learn, Speech Recognition",Applied ML Engineer,TRUE,"Researcher focused on NLP and transformer-based models, with publications in top conferences.",1
cv0086,3,Masters,"Data Visualization, Signal Processing, LightGBM, Python, Scikit-learn",Data Entry Operator,TRUE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv0087,3,Masters,"JSON, Time Series, BERT, Hadoop, Deep Learning",Sales Executive,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv0088,10,Masters,"Azure, Clustering, Data Engineering, Deep Learning, Docker Compose, Linux, Machine Learning, Pandas, Python, REST APIs, Reinforcement Learning, Signal Processing, Speech Recognition, Transformer Models",Research Scientist,TRUE,"ML engineer experienced in MLOps, Docker, Kubernetes, and continuous deployment of models.",1
cv0089,10,Bachelors,"FastAPI, CI/CD, Clustering, Flask, Data Visualization, Docker Compose",Administrative Assistant,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv0090,7,Masters,"NLP, JSON, Python",Telecaller,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv0091,1,Bachelors,"FastAPI, Linux, PyTorch Lightning, Regression, CI/CD",Data Entry Operator,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv0092,5,Bachelors,"AWS, Azure, BERT, CI/CD, Classification, Clustering, Data Visualization, Flask, Machine Learning, PyTorch Lightning, Python, Regression, Signal Processing, Statistics",Data Analyst,TRUE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv0093,2,Bachelors,"Regression, Streamlit",Office Assistant,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv0094,0,Masters,"Python, Statistics, Matplotlib, PyTorch Lightning",Customer Support,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv0095,10,PhD,"Clustering, Azure",Junior Intern,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv0096,3,Bachelors,"Azure, Deep Learning, FastAPI, GPT, Hadoop, JSON, Kubernetes, Linux, Machine Learning, NLP, Pandas, Reinforcement Learning, Seaborn, Statistics, XGBoost",Data Scientist,FALSE,"Researcher focused on NLP and transformer-based models, with publications in top conferences.",1
cv0097,6,Masters,"Git, FastAPI, OpenCV, Azure, BERT",Content Writer,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv0098,0,Masters,"Azure, Linux, TensorFlow",Data Entry Operator,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv0099,3,Bachelors,"LightGBM, Model Deployment",Content Writer,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv0100,7,Masters,"NLP, Transformer Models, XGBoost, PyTorch Lightning",Content Writer,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv0101,8,Bachelors,"Docker Compose, EDA, Feature Engineering, Model Deployment, NumPy, PyTorch Lightning, Python, Reinforcement Learning, SQL, Scikit-learn, Statistics, Tableau, Time Series",Applied ML Engineer,TRUE,Research scientist with strong statistical background and experience publishing reproducible research.,1
cv0102,1,Masters,"Classification, Data Visualization, SQLAlchemy, Power BI, Computer Vision, Streamlit",Junior Intern,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv0103,6,Masters,"Hadoop, Linux, EDA, FastAPI",Receptionist,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv0104,4,Masters,"Classification, Flask, Tableau",Receptionist,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv0105,3,Masters,"Flask, Statistics, Streamlit, EDA",Marketing Intern,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv0106,3,Bachelors,"Azure, CI/CD, Flask, EDA",Data Entry Operator,FALSE,Customer support representative with some Excel skills and interest in analytics.,0
cv0107,3,Bachelors,"Classification, Computer Vision, Data Visualization, GCP, Linux, Matplotlib, Model Deployment, NumPy, OpenCV, Pandas, Python, SQL, SQLAlchemy, Spark, Time Series",Applied ML Engineer,TRUE,Applied ML engineer experienced in productionizing deep learning models on cloud platforms.,1
cv0108,2,Bachelors,"Deep Learning, Time Series, Machine Learning, Azure",Office Assistant,TRUE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv0109,9,PhD,"Azure, CI/CD, Docker, Feature Engineering, Flask, GPT, Pandas, Python, Regression, Reinforcement Learning, SQLAlchemy, Scikit-learn, Spark, Statistics, TensorFlow",Computer Vision Engineer,TRUE,"ML engineer experienced in MLOps, Docker, Kubernetes, and continuous deployment of models.",1
cv0110,5,Bachelors,"Deep Learning, Hadoop, Kubernetes, Machine Learning, Pandas, Power BI, PyTorch, Python, REST APIs, Spark, Statistics",Data Scientist,TRUE,"Data scientist proficient in end-to-end ML pipelines, experimentation, and stakeholder communication.",1
cv0111,10,Masters,"EDA, Reinforcement Learning, Statistics, CI/CD",Junior Intern,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv0112,3,Bachelors,"Seaborn, Kubernetes, SQLAlchemy, Time Series",Marketing Intern,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv0113,1,Masters,"Hadoop, Classification, XGBoost, BERT, Docker Compose",Junior Intern,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv0114,3,Bachelors,"PyTorch, TensorFlow, Pandas",Content Writer,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv0115,1,PhD,"AWS, Clustering, Computer Vision, Data Engineering, Docker Compose, GCP, GPT, Machine Learning, NumPy, Signal Processing, Statistics, Tableau, Transformer Models",AI Researcher,TRUE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv0116,2,Bachelors,"Reinforcement Learning, Statistics, OpenCV, NLP, Git, GCP",Telecaller,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv0117,5,Bachelors,"REST APIs, CI/CD, Machine Learning, LightGBM, Tableau, Kubernetes",Office Assistant,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv0118,2,PhD,"Classification, Git, JSON, Kubernetes, Machine Learning, Pandas, PyTorch Lightning, REST APIs, Reinforcement Learning, SQL, SQLAlchemy, Signal Processing, Statistics, Time Series",AI Researcher,TRUE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv0119,3,Masters,"Data Visualization, NumPy, LightGBM, Docker Compose",Content Writer,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv0120,3,Bachelors,"EDA, SQL, Matplotlib, Spark",Marketing Intern,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv0121,6,PhD,"GPT, HuggingFace, CI/CD, Reinforcement Learning, Signal Processing, Clustering",Content Writer,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv0122,4,Masters,"CI/CD, Classification, Data Engineering, Data Visualization, EDA, Kubernetes, LightGBM, NumPy, Pandas, Python, Statistics, Streamlit",ML Engineer,FALSE,"ML engineer experienced in MLOps, Docker, Kubernetes, and continuous deployment of models.",1
cv0123,1,Masters,"GCP, NLP, HuggingFace, REST APIs, Kubernetes",Content Writer,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv0124,5,Bachelors,"Signal Processing, Matplotlib, FastAPI, Power BI, GCP",Customer Support,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv0125,0,Bachelors,"LightGBM, Clustering, BERT, PyTorch",Office Assistant,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv0126,7,Bachelors,"BERT, Classification, Machine Learning, NumPy, OpenCV, Pandas, PyTorch, Python, Reinforcement Learning, SQL, XGBoost",Machine Learning Engineer,FALSE,"Data scientist proficient in end-to-end ML pipelines, experimentation, and stakeholder communication.",1
cv0127,1,Masters,"Pandas, Classification, Kubernetes, Signal Processing, Python, EDA",Content Writer,FALSE,Customer support representative with some Excel skills and interest in analytics.,0
cv0128,0,Bachelors,"Data Visualization, JSON, Regression",Marketing Intern,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv0129,2,Masters,"Streamlit, Power BI, NumPy, XGBoost",Administrative Assistant,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv0130,3,Bachelors,"Regression, SQL, Linux, FastAPI",Content Writer,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv0131,8,PhD,"Linux, Model Deployment, NumPy, Pandas, Python, Reinforcement Learning, Spark, Statistics",Data Analyst,TRUE,Applied ML engineer experienced in productionizing deep learning models on cloud platforms.,1
cv0132,1,Bachelors,"AWS, Flask, Data Visualization, Classification, OpenCV, Statistics",Content Writer,TRUE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv0133,4,Masters,"Flask, Kubernetes, REST APIs",Data Entry Operator,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv0134,3,Masters,"REST APIs, EDA, Git, Signal Processing, Flask, Power BI",Marketing Intern,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv0135,5,Bachelors,"BERT, Docker Compose, JSON, Model Deployment, NumPy, Pandas, Python, Scikit-learn, Spark, Streamlit, Tableau",NLP Engineer,TRUE,"ML engineer experienced in MLOps, Docker, Kubernetes, and continuous deployment of models.",1
cv0136,5,Bachelors,"Linux, Kubernetes, Statistics, SQL, Git, Flask",Marketing Intern,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv0137,7,Bachelors,"PyTorch, Regression, Machine Learning, Kubernetes, TensorFlow, Data Visualization",Content Writer,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv0138,15,Masters,"AWS, Data Engineering, Deep Learning, Docker Compose, GCP, Machine Learning, Pandas, Python, SQLAlchemy, Signal Processing, Statistics, XGBoost",Machine Learning Engineer,TRUE,"Experienced ML engineer with strong background in model development, deployment, and monitoring.",1
cv0139,2,Masters,"Tableau, Hadoop, Azure",Office Assistant,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv0140,4,Bachelors,"Model Deployment, Power BI, Speech Recognition, HuggingFace, Time Series, Statistics",Marketing Intern,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv0141,5,PhD,"Seaborn, Tableau, Deep Learning, Machine Learning, Statistics, SQL",Administrative Assistant,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv0142,5,Masters,"AWS, Flask, GCP, Hadoop, Linux, Model Deployment, NumPy, Pandas, Reinforcement Learning, SQLAlchemy, Statistics, Streamlit, Time Series",ML Engineer,TRUE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv0143,1,Bachelors,"GCP, EDA, SQL, XGBoost, Data Engineering",Customer Support,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv0144,0,Masters,"Docker, OpenCV",Customer Support,FALSE,Customer support representative with some Excel skills and interest in analytics.,0
cv0145,5,PhD,"AWS, Classification, Clustering, Data Visualization, Machine Learning, Model Deployment, NLP, NumPy, Power BI, PyTorch Lightning, Seaborn, Spark, Statistics, Streamlit",Applied ML Engineer,TRUE,"Computer vision engineer with experience in object detection, segmentation, and optimization.",1
cv0146,7,Masters,"Classification, Data Engineering, EDA, Machine Learning, Python, REST APIs, Spark, Statistics, Time Series",Computer Vision Engineer,FALSE,"Researcher focused on NLP and transformer-based models, with publications in top conferences.",1
cv0147,0,Bachelors,"Streamlit, Feature Engineering",Office Assistant,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv0148,6,PhD,"CI/CD, Clustering, Data Visualization, Deep Learning, Docker Compose, EDA, Git, Machine Learning, Python, REST APIs, Statistics, Tableau",ML Engineer,FALSE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv0149,4,Masters,"AWS, Classification, Computer Vision, Docker, Docker Compose, GCP, JSON, Kubernetes, LightGBM, Machine Learning, Python, Seaborn, Statistics, XGBoost",ML Engineer,TRUE,"Researcher focused on NLP and transformer-based models, with publications in top conferences.",1
cv0150,0,Masters,"BERT, Flask, LightGBM, Spark, HuggingFace",Junior Intern,TRUE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv0151,9,Bachelors,"Spark, Azure, Speech Recognition",Junior Intern,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv0152,4,Masters,"EDA, Model Deployment, NumPy, Pandas, Power BI, Python, REST APIs, Seaborn, Signal Processing, Statistics, XGBoost",Research Scientist,TRUE,"Data scientist proficient in end-to-end ML pipelines, experimentation, and stakeholder communication.",1
cv0153,0,Bachelors,"Linux, XGBoost, Machine Learning, AWS, NLP, Python",Junior Intern,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv0154,1,Masters,"FastAPI, Streamlit, GPT, Signal Processing, REST APIs",Customer Support,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
